#時刻,脳血流(左),脳血流(左),脳血流(右),脳血流(右),脈拍(左),脈拍(右),M1,M2,M3,M4,M5,M6
23.2,0.003197,-0.097994,0.067452,-0.047102,75.511377,75.596461,0,0,0,0,0,0
23.3,0.004771,-0.09642,0.066037,-0.048517,75.42941,75.424047,0,0,0,0,0,0
23.4,0.005777,-0.095414,0.063916,-0.050638,75.3385,75.333138,0,0,0,0,0,0
23.5,0.006063,-0.095128,0.06164,-0.052914,75.332748,75.251171,0,0,0,0,0,0
23.6,0.006488,-0.094703,0.059491,-0.055063,74.8213,75.33889,0,0,0,0,0,0
23.7,0.00711,-0.094081,0.058421,-0.056133,74.487967,75.33889,0,0,0,0,0,0
23.8,0.010363,-0.090828,0.061622,-0.052932,74.406,75.423636,0,0,0,0,0,0
23.9,0.011918,-0.089273,0.062949,-0.051605,74.411752,75.256923,0,0,0,0,0,0
24,0.012824,-0.088367,0.062003,-0.052551,74.499471,74.92359,0,0,0,0,0,0
24.1,0.012713,-0.088478,0.059959,-0.054595,74.499471,74.751125,0,0,0,0,0,0
24.2,0.012901,-0.08829,0.057584,-0.05697,74.581438,74.745373,0,0,0,0,0,0
24.3,0.013027,-0.088164,0.055197,-0.059357,74.499471,74.745373,0,0,0,0,0,0
24.4,0.013805,-0.087386,0.053249,-0.061305,74.499471,74.663406,0,0,0,0,0,0
24.5,0.014784,-0.086407,0.052561,-0.061993,74.581438,74.754315,0,0,0,0,0,0
24.6,0.017362,-0.083829,0.055701,-0.058853,74.666184,74.926728,0,0,0,0,0,0
24.7,0.019294,-0.081897,0.057623,-0.056931,74.581438,74.926728,0,0,0,0,0,0
24.8,0.020373,-0.080818,0.056577,-0.057977,74.663406,74.926728,0,0,0,0,0,0
24.9,0.020848,-0.080343,0.054715,-0.059839,74.663406,74.839009,0,0,0,0,0,0
25,0.020946,-0.080245,0.052097,-0.062457,74.751125,74.833257,0,0,0,0,0,0
25.1,0.02134,-0.079851,0.049837,-0.064717,74.756877,74.833257,0,0,0,0,0,0
25.2,0.0211,-0.080091,0.047381,-0.067173,74.67491,74.75129,0,0,0,0,0,0
25.3,0.022602,-0.078589,0.047342,-0.067212,74.756877,74.584577,0,0,0,0,0,0
25.4,0.026517,-0.074674,0.050839,-0.063715,74.838844,74.999877,0,0,0,0,0,0
25.5,0.030192,-0.070999,0.053279,-0.061275,74.838844,74.999877,0,0,0,0,0,0
25.6,0.032908,-0.068283,0.052845,-0.061709,75.102002,75.087597,0,0,0,0,0,0
25.7,0.036638,-0.064553,0.052553,-0.062001,75.014283,75.087597,0,0,0,0,0,0
25.8,0.039816,-0.061375,0.051481,-0.063073,75.00191,74.999877,0,0,0,0,0,0
25.9,0.043018,-0.058173,0.049963,-0.064591,75.00191,75.081845,0,0,0,0,0,0
26,0.045781,-0.05541,0.048635,-0.065919,75.09995,74.908968,0,0,0,0,0,0
26.1,0.049476,-0.051715,0.049773,-0.064781,75.106113,74.8213,0,0,0,0,0,0
26.2,0.054385,-0.046806,0.054224,-0.06033,75.106113,75.154634,0,0,0,0,0,0
26.3,0.057045,-0.044146,0.055777,-0.058777,75.197022,75.154634,0,0,0,0,0,0
26.4,0.058958,-0.042233,0.055459,-0.059095,75.287931,75.242353,0,0,0,0,0,0
26.5,0.060236,-0.040955,0.054307,-0.060247,75.372677,75.242353,0,0,0,0,0,0
26.6,0.061635,-0.039556,0.052897,-0.061657,75.53939,75.154634,0,0,0,0,0,0
26.7,0.062911,-0.03828,0.051409,-0.063145,75.621357,75.154634,0,0,0,0,0,0
26.8,0.064351,-0.03684,0.05029,-0.064264,75.712266,75.154634,0,0,0,0,0,0
26.9,0.067736,-0.033455,0.052666,-0.061888,75.912266,75.067202,0,0,0,0,0,0
27,0.071229,-0.029962,0.057212,-0.057342,76.097451,75.239616,0,0,0,0,0,0
27.1,0.073059,-0.028132,0.058486,-0.056068,76.019479,75.151896,0,0,0,0,0,0
27.2,0.074168,-0.027023,0.057537,-0.057017,76.292383,75.239616,0,0,0,0,0,0
27.3,0.075523,-0.025668,0.056054,-0.0585,76.571908,75.327335,0,0,0,0,0,0
27.4,0.076251,-0.02494,0.053999,-0.060555,76.571908,75.327335,0,0,0,0,0,0
27.5,0.076958,-0.024233,0.052461,-0.062093,76.473869,75.327335,0,0,0,0,0,0
27.6,0.078021,-0.02317,0.051604,-0.06295,76.300992,75.160622,0,0,0,0,0,0
27.7,0.080996,-0.020195,0.054898,-0.059656,76.213273,75.160622,0,0,0,0,0,0
27.8,0.085071,-0.01612,0.059882,-0.054672,76.034645,75.333036,0,0,0,0,0,0
27.9,0.088056,-0.013135,0.062053,-0.052501,75.943736,75.423945,0,0,0,0,0,0
28,0.090612,-0.010579,0.061288,-0.053266,76.282719,75.511664,0,0,0,0,0,0
28.1,0.092993,-0.008198,0.059401,-0.055153,76.197973,75.599383,0,0,0,0,0,0
28.2,0.094292,-0.006899,0.05741,-0.057144,76.288882,75.681351,0,0,0,0,0,0
28.3,0.093887,-0.007304,0.055271,-0.059283,76.197973,75.681351,0,0,0,0,0,0
28.4,0.095709,-0.005482,0.056786,-0.057768,75.910254,75.607863,0,0,0,0,0,0
28.5,0.098062,-0.003129,0.060764,-0.05379,75.725068,75.768782,0,0,0,0,0,0
28.6,0.101283,9.2E-05,0.065772,-0.048782,75.539883,76.028915,0,0,0,0,0,0
28.7,0.103335,0.002144,0.069887,-0.044667,75.688031,76.119825,0,0,0,0,0,0
28.8,0.103069,0.001878,0.069998,-0.044556,75.836179,76.210734,0,0,0,0,0,0
28.9,0.101628,0.000437,0.067874,-0.04668,76.169513,76.301643,0,0,0,0,0,0
29,0.101254,6.3E-05,0.0657,-0.048854,76.087546,76.474519,0,0,0,0,0,0
29.1,0.103314,0.002123,0.066834,-0.04772,76.169513,76.647395,0,0,0,0,0,0
29.2,0.106444,0.005253,0.071023,-0.043531,76.257232,76.647395,0,0,0,0,0,0
29.3,0.109799,0.008608,0.076264,-0.03829,76.344951,76.808315,0,0,0,0,0,0
29.4,0.112659,0.011468,0.081749,-0.032805,76.262984,77.141135,0,0,0,0,0,0
29.5,0.115298,0.014107,0.086103,-0.028451,75.757288,77.404293,0,0,0,0,0,0
29.6,0.115646,0.014455,0.086208,-0.028346,75.757288,77.589478,0,0,0,0,0,0
29.7,0.115346,0.014155,0.084979,-0.029575,75.666379,77.774663,0,0,0,0,0,0
29.8,0.115788,0.014597,0.085621,-0.028933,75.666379,77.947539,0,0,0,0,0,0
29.9,0.118083,0.016892,0.089772,-0.024782,75.845007,78.038283,0,0,0,0,0,0
30,0.120681,0.01949,0.095414,-0.01914,75.935917,78.038283,0,0,0,0,0,0
30.1,0.123408,0.022217,0.10131,-0.013244,76.135917,78.289598,0,0,0,0,0,0
30.2,0.126117,0.024926,0.107154,-0.0074,76.516869,78.622418,0,0,0,0,0,0
30.3,0.126535,0.025344,0.110614,-0.00394,76.897821,78.794667,0,0,0,0,0,0
30.4,0.125003,0.023812,0.110214,-0.00434,77.3272,78.888943,0,0,0,0,0,0
30.5,0.122087,0.020896,0.108153,-0.006401,77.500076,78.970448,0,0,0,0,0,0
30.6,0.121106,0.019915,0.109537,-0.005017,77.67249,79.051952,0,0,0,0,0,0
30.7,0.119067,0.017876,0.11298,-0.001574,77.757236,79.142348,0,0,0,0,0,0
30.8,0.118506,0.017315,0.118073,0.003519,77.557236,79.142348,0,0,0,0,0,0
30.9,0.118051,0.01686,0.123644,0.00909,77.544863,79.142348,0,0,0,0,0,0
31,0.118224,0.017033,0.129357,0.014803,77.62683,79.236333,0,0,0,0,0,0
31.1,0.116771,0.01558,0.131887,0.017333,77.42683,79.40829,0,0,0,0,0,0
31.2,0.114621,0.01343,0.130659,0.016105,77.154103,79.469007,0,0,0,0,0,0
31.3,0.112218,0.011027,0.127907,0.013353,76.881376,79.623999,0,0,0,0,0,0
31.4,0.111335,0.010144,0.127988,0.013434,76.605282,79.533255,0,0,0,0,0,0
31.5,0.112043,0.010852,0.131469,0.016915,76.599118,79.533255,0,0,0,0,0,0
31.6,0.112717,0.011526,0.136071,0.021517,76.399118,79.44286,0,0,0,0,0,0
31.7,0.113791,0.0126,0.141151,0.026597,75.390715,79.352464,0,0,0,0,0,0
31.8,0.114638,0.013447,0.145703,0.031149,74.204731,79.446449,0,0,0,0,0,0
31.9,0.113952,0.012761,0.146744,0.03219,73.057404,79.684993,0,0,0,0,0,0
32,0.111669,0.010478,0.144407,0.029853,72.647346,79.845913,0,0,0,0,0,0
32.1,0.109716,0.008525,0.141475,0.026921,72.058265,80.006832,0,0,0,0,0,0
32.2,0.107937,0.006746,0.138979,0.024425,71.679402,79.755517,0,0,0,0,0,0
32.3,0.108155,0.006964,0.141121,0.026567,72.162421,79.594598,0,0,0,0,0,0
32.4,0.108752,0.007561,0.145223,0.030669,72.441946,79.343283,0,0,0,0,0,0
32.5,0.110264,0.009073,0.149733,0.035179,72.532855,79.158553,0,0,0,0,0,0
32.6,0.11112,0.009929,0.153468,0.038914,72.823764,78.973824,0,0,0,0,0,0
32.7,0.110077,0.008886,0.152773,0.038219,72.911306,79.151652,0,0,0,0,0,0
32.8,0.108573,0.007382,0.150171,0.035617,73.184033,79.239083,0,0,0,0,0,0
32.9,0.106011,0.00482,0.14688,0.032326,73.369218,79.400003,0,0,0,0,0,0
33,0.102938,0.001747,0.143384,0.02883,73.112059,79.239083,0,0,0,0,0,0
33.1,0.10021,-0.000981,0.141621,0.027067,73.017719,78.90575,0,0,0,0,0,0
33.2,0.097616,-0.003575,0.143674,0.02912,73.224118,78.663326,0,0,0,0,0,0
33.3,0.095445,-0.005746,0.147204,0.03265,73.608096,78.390929,0,0,0,0,0,0
33.4,0.092291,-0.0089,0.148151,0.033597,73.904992,77.9672,0,0,0,0,0,0
33.5,0.088359,-0.012832,0.146447,0.031893,74.136422,77.80628,0,0,0,0,0,0
33.6,0.084044,-0.017147,0.143889,0.029335,74.280362,77.80628,0,0,0,0,0,0
33.7,0.079986,-0.021205,0.140654,0.0261,74.48676,77.879768,0,0,0,0,0,0
33.8,0.076455,-0.024736,0.137299,0.022745,74.116022,77.625387,0,0,0,0,0,0
33.9,0.073529,-0.027662,0.134053,0.019499,73.758423,77.452973,0,0,0,0,0,0
34,0.070688,-0.030503,0.132532,0.017978,73.573174,77.280559,0,0,0,0,0,0
34.1,0.067553,-0.033638,0.131735,0.017181,73.394546,77.108146,0,0,0,0,0,0
34.2,0.063703,-0.037488,0.129221,0.014667,73.492012,76.684417,0,0,0,0,0,0
34.3,0.060363,-0.040828,0.126532,0.011978,73.319598,76.441993,0,0,0,0,0,0
34.4,0.056743,-0.044448,0.123148,0.008594,73.147184,76.199568,0,0,0,0,0,0
34.5,0.053305,-0.047886,0.119804,0.00525,72.902931,76.027155,0,0,0,0,0,0
34.6,0.050132,-0.051059,0.116518,0.001964,72.678122,75.945187,0,0,0,0,0,0
34.7,0.047075,-0.054116,0.113293,-0.001261,72.580656,75.772311,0,0,0,0,0,0
34.8,0.042641,-0.05855,0.107472,-0.007082,72.468375,75.599846,0,0,0,0,0,0
34.9,0.038407,-0.062784,0.101058,-0.013496,72.889428,75.427432,0,0,0,0,0,0
35,0.035069,-0.066122,0.096335,-0.018219,73.33429,75.173051,0,0,0,0,0,0
35.1,0.032073,-0.069118,0.092216,-0.022338,73.705056,74.839718,0,0,0,0,0,0
35.2,0.030621,-0.07057,0.088913,-0.025641,73.698436,74.593816,0,0,0,0,0,0
35.3,0.029627,-0.071564,0.085386,-0.029168,73.971341,74.593816,0,0,0,0,0,0
35.4,0.028137,-0.073054,0.081953,-0.032601,73.958569,74.511849,0,0,0,0,0,0
35.5,0.026111,-0.07508,0.078064,-0.03649,74.052909,74.339435,0,0,0,0,0,0
